annotator,status,is_easy,word,semantic type,meaning BTS,meaning_students
НЛ,,,дождь,metaphor,1 - атмосферные осадки в виде капель; 2 - сыплющееся множество чего-либо; 3 - украшение для ёлки,1 - атмосферные осадки в виде капель - 142; 2 - ссыплющееся множество чего-либо - 7; 3 - укращение для ёлки - 1
АЛ,ок,,кличка,metaphor,"1 - имя домашенего животного, 2 - прозвище человека","1 - животное - 39, 2 - человек - 109, 0 - другое - 2"
НЛ,,,кольцо,metaphor,"1 - круг, обруч, 2 - украшение на палец, 3 - гимнастический снаряд (только мн), 4 - нечто в форме кольца, 5 - пирожное, 6 - конечный пункт маршрута транспорта, 7 - то, что образует круг или располагается в виде замкнутой линии","1 - круг, обруч - 23, 2 - украшение на палец - 32, 3 - снряд - 0, 4 - предмет с формой кольца - 22, 5 - пирожное - 0, 6 - пункт остановки транспорта - 1, 7 - замкнутый в форме кольца - 63, 0 - другое - 5, - - не определено - 4"
НЛ,,,концерт,metaphor,1 - публичное исполнение музыки; 2 - крупное музыкальное произведение; 3 - скандал или истерика,1 - публичное выступление - 140; 2 - музыкальное произведение - 6; 3 - скандал или истерика - 3; 4 - крики кошек - 0
НЛ,,,котелок,metaphor,"1 - небольшой котел, 2 - походная утварь, 3 - голова, 4 - шляпа","1 - котел - 24, 2 - походная утварь -72, 3 - голова - 2, 4 - шляпа - 41, 0 - другое - 4, - - не определено - 7"
НЛ,,,ножка,metaphor,"1 - уменьшительно-ласкательное от нога; 2 - опора, нижняя часть (мебели, утвари); 3 - нижняя часть гриба/растения; 4 - деталь измерительного/чертежного инструмента","1 - уменьшительно-ласкательное от нога - 106; 2 - опора, нижняя часть (мебели, утвари) - 36; 3 - нижняя часть гриба/растения - 3; 4 - деталь измерительного/чертежного инструмента - 5"
НА,,,опора,metaphor,"1 - основание, подпорка, то, на чем можно что-л. укрепить; 2 - поддержка, помощь ","1 - основание, то, на чем можно что-л. укрепить - 72; 2 - поддержка, помощь - 73; 0 - другое - 4; - - не определено - 1"
АЛ,ok,,печать,metaphor,"1- пластика с узором для оттиска, сам оттиск; 2- след, отпечаток, знак чего-либо; 3 - внешний вид напечатанного в зависимости от полиграфических особенностей; 4 - изготовление рисунков, текстов в типографии, печатание; 5 - пресса; 6 - Отрасль производства, занятая изготовлением типографским способом печатной продукции; издательское и типографское дело; 7 - Спец. Изготовление изображений на киноплёнке","1- пластика с узором для оттиска, сам оттиск - 42; 2- след, отпечаток чего-либо - 12; 3 - внешний вид напечатанного - 9; 4 - изготовление рисунков, текстов в типографии - 24; 5 - пресса - 36; 6 -  издательское и типографское дело - 27"
АЛ,ок,,почерк,metaphor,1 - манера изображения букв; 2 - индивидуальная творческая манера,1 - манера изображения букв - 114; 2 - манера делать что-л. - 36
ЛЛ,ok,,пробка,metaphor,1 - наружный слой древесной коры; 2 - втулка для закрывания бутылок; 3 - скопление людей или транспорта; 4 - преграда в каком-л. проходе; 5 - вид электрического предохранителя,1 - наружный слой древесной коры - 4; 2 - втулка для закрывания бутылок - 18; 3 - скопление людей или транспорта - 117; 4 - преграда в каком-л. проходе - 10; 0 - другое - 1
ЛЛ,?,,след,metaphor,"1 - опечаток, оттиск ноги, лапы или шины на какой-л. поверхности; 2 - царапина, шрам, знак, отметина и т.п., оставшиеся после чего-л. на чём-л.; 3 - Результат, последствия чьей-л. деятельности, какого-л. события, явления, происшествия и т.п.; 4 -  Характерный отпечаток, возникший в результате чего-л.; признак, свидетельствующий о чём-л.; 5 - Небольшой, незначительный остаток, уцелевший от того, что было; 6 - (в чём) То, что осталось как результат чего-л. или как воспоминание о чём-л.; 7 - нижняя часть ступни, подошва ноги","1 - опечаток, оттиск ноги, лапы на какой-л. поверхности - 73; 2 - царапина, шрам, знак, отметина и т.п., оставшиеся после чего-л. на чём-л. - 10; 3 Результат, последствия чьей-л. деятельности, какого-л. события, явления, происшествия и т.п. - 27; 4 -  Характерный отпечаток, возникший в результате чего-л.; признак, свидетельствующий о чём-л  - 16; 5 - Небольшой, незначительный остаток, уцелевший от того, что было - 19; 0 - другое - 4"
ЛЛ,ok,,тюрьма,metaphor,"1 - место заключения или пребывание в этом месте; 2 - место, где тяжело жить, где живут в угнетении","1 - место заключения - 145; 2 - место, где тяжело жить - 4; 3 - собирательное об обитателях тюрьмы - 1"
ДУ,,1,акция,homonym,,"1 - 'ценная бумага' - 131; 2 - 'действие, предпринимаемое для достижение какой-либо цели' - 19"
ДУ,,1,байка,homonym,,"1 - 'мягкая, ворсистая хлопчатобумажная ткань' - 5; 2 - 'короткий забавный рассказ анекдотического или поучительного характера' - 141; 0 - 'другое' - 4"
АЛ,ок,,бум,homonym,"1 - Кратковременное повышение спроса на какие-л. товары, акции и т.п., сопровождающееся подъёмом производства, торговли, деловой активности; 2 - Гимнастический снаряд - толстый брус с плоской поверхностью, укреплённый горизонтально на стойках; 3 - Разг. Чрезмерное оживление, волнение, шумиха вокруг кого-, чего-л. ","1 - 'употр. для обозначения сильного короткого звука при ударе' - 35; 2 - 'rратковременное повышение спроса на какие-л. товары, акции и т.п.' - 108; 3 - 'гимнастический снаряд' - 0; 0 - 'другое' -  7"
АЛ,ok,,бычок,homonym,"1 - 'уменьшительно-ласкательное к бык, молодой бык; 2 - Небольшая морская рыба отряда окунеобразных; 3 - 'окурок; 4 - Семейство морских рыб этого отряда; 5 - Мясо таких рыб","1 - 'уменьшительно-ласкательное к бык, молодой бык' - 83; 2 - 'род мелкой рыбы' - 16; 3 - 'окурок' - 22; 0 - 'другое' - 17; - - 'не определено' - 12"
ДУ,,1,гвоздика,homonym,,"1 - 'дикорастущее и садовое растение' - 98; 2 - 'высушенные цветочные бутоны гвоздичного дерева, употребляемые как пряность' - 46; 0 - 'другое' - 8"
ДУ,,1,гипербола,homonym,,"1 - 'стилистический приём - чрезмерное преувеличение каких-л. свойств изображаемого' - 143; 2 - 'незамкнутая кривая из двух ветвей, получаемая при пересечении конуса плоскостью' - 6; - - 'не определено' - 1"
ДУ,,1,град,homonym,,1 - 'атмосферные осадки в виде льдинок' - 34; 2 - 'обилие чего-либо' - 23; 3 - 'город' - 89; 0 - 'другое' - 4
ДУ,,1,гусеница,metaphor,,1 - 'личина бабочки' - 79; 2 - 'замкнутая сплошная лента в виде цепи для самоходных машин' - 71; 0 - 'другое' - 4
ДУ,,1,домино,homonym,,1 - 'маскарадный костюм' - 18; 2 - 'настольная игра' - 115; 0 - 'другое' - 11; - - 'не определено' - 6
ДУ,,1,кабачок,homonym,,1 - небольшой ресторан - 90; 2 - овощ - 49; 3 - огородное растение - 9; - - не определено - 2
ДУ,,1,капот,homonym,,1 - откидная крышка у механизмов - 124; 2 - женское платье-халат - 24; 3 - военная шинель - 2
ДУ,,1,карьер,homonym,,1 - ускоренный галоп - 39; 2 - место разработки полезных ископаемых - 78; 0 - другое - 33
ДУ,,1,кок,homonym,,1 - взбитая/завитая прядь надо лбом - 18; 2 - повар на судне - 28; 0 - другое - 101; - - не определено - 3
ДУ,,1,крона,homonym,,1 - верхняя часть дерева - 79; 2 - денежная единица - 57; 0 - другое - 13
ДУ,,1,круп,homonym,,1 - задняя часть корпуса лошади - 72; 2 - воспаление гортани - 16; 0 - другое - 62
АЛ,ok,,лейка,homonym,1 - Сосуд для поливки растений в виде ведра с трубкой; 2 - узкопленочный фотоаппарат; 3 - Нар.-разг. =Воронка ,1 - сосуд для поливки растений - 90; 2 - узкопленочный фотоаппарат - 27; 0 - другое - 32
КЛ,wip,,лук,homonym,1 - растение; 2 - ручное оружие; 3 - Съедобные трубчатые листья или луковицы этого растения,1 - растение - 100; 2 - ручное оружие - 19; 3 - мужское имя - 19; 0 - другое - 12
ДУ,,1,мандарин,homonym,,1 - цитрус - 111; 2 - гос. чиновник в феодальном Китае - 26; 0 - другое - 6; - - не определено - 7
АЛ,ok,,пол,homonym,"1 - Нижнее покрытие, настил в помещении, в доме; 2 - Совокупность признаков, связанных с деторождением, различающих мужчин и женщин; 3 - Принадлежность к разряду мужчин или женщин, самцов или самок","1 - нижнее покрытие, настил - 94; 2 - принадлежность к разряду мужчин или женщин - 30; 3 - половина или середина - 14; 0 - другое - 11; - - не определено - 1"
АЛ,ок,,полоз,homonym,1 - нижняя часть саней; 2 - скользящий брус для тяжестей; 3 - неядовитая змея,1 - нижняя часть саней - 109; 2 - скользящий брус для тяжестей - 12; 3 - неядовитая змея - 11; 0 - другое - 17; - - не определено - 1
АЛ,ok,,рак,homonym,"1 - пресноводное, 2, 3 - болезнь людей и животных, 3 - Одно из двенадцати созвездий Зодиака.; 4 - О человеке, родившемся в конце июня - июле, когда Солнце находится в созвездии Рака","1 - пресноводное -32, 2 - болезнь людей и животных -81, 3 - болезнь растений -2, 0 - другое -11"
ДУ,,1,рок,homonym,,"1 - судьба -34, 2 - музыка -44, 0 - другое - 72"
ДУ,,1,слог,homonym,,"1 - звук, сочетание - 81, 2 - манера изложения - 69"
ДУ,,1,стопка,homonym,,"1 - стопка чего-то (книг, бумаг) - 98,  2 - стакан - 51, - - не определено - 1"
ДУ,,1,таз,homonym,,"1 - сосуд - 86, 2 - часть скелета - 53, 3 - национальность(?) - 6, 0 - другое - 3, - - не определено - 2"
ДУ,,1,такса,homonym,,"1 - деньги, расценка - 81, 2 - собака - 47, 0 - другое - 19, - - не определено - 3"
ДУ,,1,шах,homonym,,"1 - титул - 87, 2 - шахматы - 10, 0 - другое - 49, - - не определено - 4"
ЛЛ,ok,,баба,homonym,"1 - 'о женщине, пренебрежительно' ; 2- 'то же, что и бабушка'; 3 - 'ударная часть механического молота, штампа' ; 4 - 'кулич, выпкаемый в высокой цилиндрической форме'; 5 - 'фигура из снега, камня и т.п., напоминающая человеческую'; 6 - 'о робком, слабохарактерном мужчине, мальчике'; 7 - 'Женщина, находящаяся в интимных отношениях с кем-л.; жена', 8 - 'Деревенская (обычно замужняя) женщина, крестьянка'.","1 - 'о женщине, пренебрежительно' - 120; 2- 'то же, что и бабушка' - 10; 3 - 'ударная часть механического молота, штампа' - 0; 4 - 'кулич, выпкаемый в высокой цилиндрической форме' - 0; 5 - 'фигура из снега, камня и т.п., напоминающая человеческую' - 1; 0 - 'другое' - 19"
ЛЛ,ok,,вал,homonym,"1 - 'земляная насыпь, длинная высокая гряда чего-либо'; 2 - 'высокая волна'; 3 - 'скатанный пласт сена'; 4 - 'деталь машины, вращающаяся в опорах и сообщающая такое движение связанным с ней частям механизма';  5 - 'общий объем продукции, произведённой за какой-л. промежуток времени, в стоимостном выражении'","1 - 'земляная насыпь, длинная высокая гряда чего-либо' - 59; 2 - 'высокая волна' - 23; 3 - 'скатанный пласт сена' - 0; 4 - 'деталь машины, вращающаяся в опорах и сообщающая такое движение связанным с ней частям механизма' - ;  5 - 'общий объем продукции, произведённой за какой-л. промежуток времени, в стоимостном выражении' - 0; 6 - 'cимвол грозной опасности или наивысшего подъёма чего-либо' - 16; 0 - 'другое' - 35; - - 'не определено' - 2"
ЛЛ,,,газ,homonym,"1 - 'состояние вещества'; 2 - 'газообразное топливо'; 3 - 'нагревательный, осветительный и т.п. прибор, устройство, потребляющее такое топливо'; 4 - 'шёлковая прозрачная ткань' - 0; 5 - 'буквенное сокращение: Горьковский автомобильный завод' - 4; 6 - автомобиль этого завода; 7 - газообразные выделения желудка и кишок","1 - 'состояние вещества' - 51; 2 - 'газообразное топливо' - 89; 3 - 'нагревательный, осветительный и т.п. прибор, устройство, потребляющее такое топливо' - 0; 4 - 'шёлковая прозрачная ткань' - 0; 5 - 'буквенное сокращение: Горьковский автомобильный завод или втомобиль этого завода' - 4; 0 - 'другое' - 6"
ЛЛ,,,забой,homonym,"1, 2 - постепенно перемещающийся в ходе работ конец горной выработки, являющийся рабочим местом горняка; 2 - умерщвление (скота) ",1 - рабочее место горняка - 95; 2 - поверхность полезного ископаемого - 20; 3 - умерщвление (скота) - 19; 4 - ряд кольев или свай - 4; 0 - другое - 6; - - не определено - 6
ЛЛ,,,заговор,homonym,"1 - тайный сговор; 2 - тайное соглашение нескольких лиц о совместных действиях против кого-, чего-л. для достижения каких-л. определённых политических целей; 3 - заклинание",1 - тайный сговор - 33; 2 - тайное политическое соглашение - 104; 3 - заклинание - 12; 0 - другое - 1
ЛЛ,,,икра,homonym,"1, 2 - яйца, откладываемые рыбами и пресноводными и съедобная икра рыб; 2 - овощная смесь; 3 - задняя часть голени человека ","1 - яйца, откладываемые рыбами и пресноводными - 14; 2 - съедобная икра рыб - 110; 3 - овощная смесь - 5; 4 - задняя часть голени человека - 19; - - не определено - 2"
ЛЛ,,,ключ,homonym,"1 - приспособление для запирания/отпирания замка; 2 - приспособление для завинчивания/отвинчивания и заведения чего-л.; 3 - музыкальный знак ; 4 - камень, замыкающий свод/арку; 5 - средство для понимания чего-л.; 6 - бьющий из земли родник; 7 - условная система обозначения букв, цифр и т.п., на которой основан способ прочтения какого-л. шифрованного текста ","1 - приспособление для запирания/отпирания замка - 95; 2 - приспособление для завинчивания/отвинчивания и заведения чего-л. - 0; 3 - музыкальный знак - 0; 4 - камень, замыкающий свод/арку - 0; 5 - средство для понимания чего-л. - 25; 6 - родник - 8; 7 - тон, манера чего-л. - 16; 0 - другое - 6"
ЛЛ,,,кулак,homonym,"1 - кисть руки с согнутыми пальцами; 2 - войска, сосредоточенные в одном месте для удара; 3 - богатый крестьянин-собственник; 4 - стяжатель; 5 - деталь какой-л. машины, имеющая форму выступа, толканием приводящая в движение тот или иной механизм","1 - кисть руки с согнутыми пальцами - 120; 2 - войска, сосредоточенные в одном месте для удара - 3; 3 - богатый крестьянин - 16; 4 - стяжатель - 3; 0 - другое - 7"
ЛЛ,,,мир,homonym,"1 - покой, равновесие; 2 - соглашение о прекращении войны; 3 - отсутствие войны; 4 - всё, реально существующее на Земле, проявляющееся в её жизни; 5 - Земной шар, Земля со всем существующим на ней; 6 - человеческое сообщество с определенными признаками; 7 - согласие, отсутствие разногласий, вражды или ссоры; 8 - Совокупность всех форм материи в земном и космическом пространстве, Вселенная; 9 - часть вселенной, планета; 10 - люди, окружающие кого-л., общество; 11 - область, сфера деятельности; 12 - сельская община; 13 - всё, что создано богом (по религиозным соображениям)","1 - покой, равновесие - 2; 2 - соглашение о прекращении войны - 2; 3 - отсутствие войны или ссоры - 9; 4 - все живое во Вселенной - 20; 5 - планета Земля - 68; 6 - человеческое сообщество - 24; 7 - пространство, порядок и образ вещей - 16; 0 - другое - 3; - - не определено - 6"
ЛЛ,,,нота,homonym,"1 - графический текст муз. произведения; 2 - звук в пении или музыке; 3 - интонация или оттенок речи, показывающий отношение; 4 - графическое изображение одного звука; 5 - дипломатическое обращение","1 - графический текст муз. произведения - 36; 2 - звук в пении или музыке - 28; 3 - интонация или оттенок речи, показывающий отношение - 16; 4 - графическое изображение 1го звука - 14; 5 - дипломатическое обращение - 25; 0 - другое - 22; - - не определено - 9"
ЛЛ,,,пар,homonym,"1 - газообразное состояние воды; 2 - видимое испарение, образующееся в воздухе при подсыхании чего-л. влажного, при взаимодействии тёплого и холодного воздуха; 3 - сильно нагретый влажный воздух; 4 - поле севооборота","1 - газообразное состояние воды - 33; 2 - видимое испарение от влажного - 21; 3 - сильно нагретый воздух - 49; 4 - стремительно, быстро - 0; 5 - поле севооборота - 0; 0 - другое - 44; - - не определено - 3"
ЛЛ,,,патрон,homonym,"1, 2 - покровитель, защитник, святой у католиков; 3, 4 - пуля с порохом и гильза для пули; 5 - часть электрического прибора; 4 - в Древнем Риме: лицо, бравшее под своё покровительство малоимущих или неполноправных граждан; 5 - в Западной Европе: глава, хозяин предприятия, какого-л. дела; 6 - цилиндрическая закрывающаяся маленькая коробочка для хранения чего-л.; 7 - приспособление в токарном и сверлильном станке для зажима обрабатываемой детали или режущего инструмента; 8 - образец для выкройки; 9 - трафарет рисунка по ткани","1 - покровитель, защитник - 12; 2 - святой у католиков - 6; 3 - пуля с порохом - 122; 4 - гильза для пули - 4; 5 - часть электрического прибора - 3; - - не определено - 3"
ЛЛ,,,свет,homonym,"1 - лучистая энергия, 2 - место, откуда исходит освещение, 3 - источник света, 4 - рассвет, 5 - светлое место на картине, 6 - блеск глаз, 7 - светлый символ (любви, истины), 8 - обращение, 9 - земля, мир, 10 - высшее общество, избранный круг, 11 - окружающие люди","1 - лучистая энергия - 54, 2 - место, откуда исходит - 3, 3 - источник света - 11, 4 - рассвет - 1, 5 - светлое место на картине - 0, 6 - блеск глаз - 0, 7 - светлый символ (любви, истины) - 4, 8 - обращение - 1, 9 - земля, мир - 55, 10 - высшее общество - 4, 11 - окружающие люди - 5, 0 - другое - 7, - - не определено - 5"
ЛЛ,,,секрет,homonym,"1 - тайна, 2 - скрытая причина, 3 - тайный или ненайденный способ, 4 - тайное устройство в механизмах, 5 - сторожевой пост, 6 - жидкость из желез","1 - тайна - 110, 2 - скрытая причина - 21, 3 - тайный способ - 13, 4 - тайное устройство - 0, 5 - сторожевой пост - 2, 6 - жидкость - 0, 0 - другое - 4"
ЛЛ,,,скат,homonym,"1 - действие(скатываться), скатывание, 2 - приспособление для скатывания, 3 - наклонная поверхность, 4 - хищная морская рыба, 5 - колесные пары для вагона, 6 - колесные пары для авто","1 - действие(скатываться) - 2, 2 - приспособление для скатывания - 2, 3 - наклонная поверхность - 105, 4 - животное - 22, 5 - колесные пары для вагона - 0, 6 - колесные пары для авто - 6, 0 - другое - 10, - - не определено - 2"
ЛЛ,,,стан,homonym,"1 - туловище, корпус, 2 - военный лагерь, 3 - временное жилище, стоянка полевых, рыболовецких и т.п. бригад в период сезонной работы, 4 - войско, 5 - борющаяся, противодействующая кому-л. сторона, лагерь, общественная группа, 6 - уезд, 7 - машина для обработки, 8 - деревянное сооружение, приспособление для работ, 9 - опора, основание каких-л. рабочих орудий, механизмов","1 - тело - 30, 2 - военный лагерь - 22, 3 - временное жилище, стоянка - 8, 4 - войско - 7, 5 - чья-то сторона - 42, 6 - уезд - 0, 7 - машина для обработки - 17, 8 - сооружение, приспособление - 9, 9 - опора - 0, 10 - устоявшееся название - 4, 0 - другое - 10, - - не определено - 1"
НА,,,такт,homonym,"1 - музыкальный термин, метрическая единица, 2 - ритм, 3 - часть рабочего цикла какого-л. механизма, 4 - чувство меры в поведении","1 - музыкальный термин - 25, 2 - ритм - 59, 3 - рабочий цикл, 4 - чувство меры - 61, 0 - другое - 2, - - не определено - 2"
НА,,,фокус,homonym,"1 - точка, где сходятся лучи, 2 - точка, в которой фотографический инструмент имеет наибольшую четкость, 3 - очаг воспаления, 4 - центр внимания, 5 - математическая точка, 6 - трюк, магия, 7 - хитроумный прием, уловка, 8 - скрытая сложность в устройстве, 9 - неожиданный поступок, 10 - капризы, причуды (мн)","1 - точка, где сходятся лучи - 6, 2 - фотографический - 8, 3 - очаг заболевания - 0, 4 - центр внимания - 22, 5 - математическая точка - 0, 6 - трюк, магия - 49, 7 - хитрая уловка - 16, 8 - скрытая сложность - 5, 9 - неожиданный поступок - 8, 10 - причуда - 8, 0 - другое - 19, - - не определено - 9"
НА,,,шашка,homonym,"1 - точеный кружок для игры в шашки, 2 - кусок камня для мощения улиц, 3 - кубик взрывчатого вещества, 4 - о том, что имеет вид чередующихся квадратов, которые различаются по цвету, 5 - холодное оружие","1 - кружок для игры - 7, 2 - уличная плитка - 0, 3 - для взрыва - 26, 4 - квадраты двух цветов - 1, 5 - оружие - 91, игра - 20, 0 - другое - 3, - - не определено - 2"